finding_id,severity,priority,resolution_path,task_id,agent_owner,reviewer,status,validation_evidence
ARCH-001,High,P1,task,T1-11,paired,claude,ready,"npm run build route table, before/after"
ARCH-002,High,P1,task,T1-08,paired,claude,ready,"changelog check + auth regression suite; see Open Decision #6"
ARCH-003,Medium,P2,task,T4-03,codex,claude,blocked-by-wave,"mobile lockout parity test"
ARCH-004,Low,P3,folded_into_task,T5-08,codex,claude,ready,"code cleanup pass removes duplicate CORS config"
DB-001,High,P1,task,T4-04,paired,claude,blocked-by-wave,"migration-zero baseline exists"
DB-002,Low,P4,folded_into_task,T5-08,codex,claude,ready,"trustScore field removed or documented as intentionally reserved"
DB-003,Low,P4,folded_into_task,T5-08,codex,claude,ready,"enums enforced or documented as intentional free text"
DB-004,Medium,P2,requires_owner_decision,none,none,none,open,"Open Decision #9 - accept free-tier pause or upgrade plan"
ROUTE-001,Medium,P2,folded_into_task,T1-03,codex,claude,ready,"add /tutors/[id]/edit to the same proxy.ts gate audit as the centers fix"
ROUTE-002,High,P1,task,T1-01,paired,claude,ready,"see T1-01/T1-02 acceptance criteria"
ROUTE-003,Low,P3,task,T2-02,codex,claude,ready,"dead code removed"
ROUTE-004,Medium,P3,task,T2-02,codex,claude,ready,"linked from role-selection entry point or removed"
ROUTE-005,Medium,P2,task,T2-07,codex,claude,ready,"/privacy resolves"
ROUTE-006,Medium,P2,task,T2-07,codex,claude,ready,"/terms resolves"
ROUTE-007,High,P2,task,T2-02,codex,claude,ready,"/profile linked from account menu"
ROUTE-008,Medium,P3,deferred,none,none,none,deferred,"not included in audit's own roadmap.csv; flagged for a future wave, not blocking this overhaul"
ROUTE-009,Low,P4,folded_into_task,T5-02,codex,claude,ready,"noindex added to /global-states"
ROUTE-010,Info,P4,invalidated_or_no_action,none,none,none,closed,"confirmed unshipped prototype, no action needed per audit"
UX-JOURNEY-001,Medium,P3,folded_into_task,T2-01,paired,claude,blocked-by-wave,"landing page error-state handling reviewed as part of landing simplification"
UX-JOURNEY-002,High,P1,task,T1-03,codex,claude,ready,"see T1-03 acceptance criteria"
UX-JOURNEY-003,High,P1,task,T4-01,paired,claude,blocked-by-decision,"Open Decision #7"
UX-JOURNEY-004,Medium,P2,folded_into_task,T2-02,codex,claude,ready,"onboarding role-selection i18n added while page is touched for the nav-link fix"
UX-JOURNEY-005,High,P1,task,T1-02,paired,claude,ready,"see T1-02 acceptance criteria"
UX-JOURNEY-006,High,P1,task,T1-05,paired,claude,ready,"see T1-05 acceptance criteria"
UX-JOURNEY-007,Medium,P3,requires_owner_decision,T6-01,claude,none,blocked-by-decision,"Open Decision #2"
UX-JOURNEY-008,Critical,P0,requires_owner_decision,T1-04,paired,claude,blocked-by-decision,"Open Decision #1"
UX-JOURNEY-009,Medium,P2,task,T2-06,codex,claude,ready,"5 admin buttons functional or removed"
UX-001,High,P1,task,T2-01,paired,claude,blocked-by-wave,"scroll cap/relocation shipped, see 00-target-product.md metrics"
UX-002,Medium,P2,task,T2-01,paired,claude,blocked-by-wave,"reduced-motion actually removes scroll-gate via MobileBookScroller reuse"
UX-003,Medium,P2,task,T2-01,paired,claude,blocked-by-wave,"secondary fold: T3-02 RTL sweep re-confirms"
UX-004,Low,P3,folded_into_task,T2-01,paired,claude,blocked-by-wave,"hero styling consolidated as part of landing simplification"
UX-005,Medium,P3,folded_into_task,T2-01,paired,claude,blocked-by-wave,"section redundancy resolved as part of landing simplification"
UX-006,Low,P3,folded_into_task,T5-08,codex,claude,ready,"TutorsClient filter logic deduplicated during oversized-file cleanup"
UX-007,High,P1,task,T2-05,paired,claude,ready,"see T2-05 acceptance criteria"
UX-008,Medium,P2,folded_into_task,T1-02,paired,claude,ready,"StepIndicator fixed as part of checkout re-port"
UX-009,Medium,P2,folded_into_task,T1-02,paired,claude,ready,"fabricated rating/seats-left/duration removed as part of checkout re-port"
UX-010,Low,P3,task,T2-01,paired,claude,blocked-by-wave,"hero tokens folded into global token set"
MOBILE-001,Medium,P2,task,T3-07,codex,claude,blocked-by-wave,"one breakpoint value confirmed"
MOBILE-002,Low,P3,task,T3-07,codex,claude,blocked-by-wave,"CSS-only fallback considered/shipped"
MOBILE-003,Low,P3,task,T3-05,paired,claude,blocked-by-wave,"IconButton component enforces 44px"
MOBILE-004,Medium,P2,folded_into_task,T3-07,codex,claude,blocked-by-wave,"320-375px grid crush checked during nav/breakpoint consolidation"
MOBILE-005,Low,P3,task,T3-05,paired,claude,blocked-by-wave,"favorite-heart migrated to IconButton"
MOBILE-006,Low,P3,folded_into_task,T5-08,codex,claude,ready,"overflow-x wrapper added to CenterAdminRevenue tables"
MOBILE-007,Medium,P2,task,T3-06,paired,claude,blocked-by-wave,"Modal component caps height, 3 duplicates removed"
MOBILE-008,Low,P4,folded_into_task,T3-02,codex,claude,blocked-by-wave,"borderLeft replaced with logical property during RTL sweep"
MOBILE-009,Medium,P2,task,T3-05,paired,claude,blocked-by-wave,"systemic touch-target pattern resolved via shared component"
I18N-001,Critical,P0,task,T1-02,paired,claude,ready,"see T1-02 acceptance criteria"
I18N-002,High,P1,task,T3-01,codex,claude,blocked-by-wave,"ClassDetailClient zero hardcoded strings"
I18N-003,High,P1,task,T3-01,codex,claude,blocked-by-wave,"ClassCard zero hardcoded strings - highest leverage, do first"
I18N-004,High,P1,task,T3-01,codex,claude,blocked-by-wave,"public CenterProfileClient zero hardcoded strings"
I18N-005,Medium,P2,task,T3-01,codex,claude,blocked-by-wave,"DashboardMaterials.tsx consistent i18n"
I18N-006,Medium,P2,task,T3-01,codex,claude,blocked-by-wave,"StudentBookingRow consistent i18n"
I18N-007,Low,P3,task,T3-01,codex,claude,blocked-by-wave,"ClassFilters example chips through DICT"
RTL-001,Medium,P2,task,T1-02,paired,claude,ready,"primary fix in checkout re-port; re-confirmed in T3-02 sweep"
RTL-002,Low,P3,task,T3-02,codex,claude,blocked-by-wave,"ClassSearch.tsx logical properties"
RTL-003,Low,P4,task,T3-02,codex,claude,blocked-by-wave,"decorative blob positioning fixed"
RTL-004,Low,P4,task,T3-02,codex,claude,blocked-by-wave,"admin chart margins fixed"
FORMAT-001,Medium,P2,task,T3-03,codex,claude,blocked-by-wave,"locale-aware price formatting"
FORMAT-002,Medium,P2,task,T3-03,codex,claude,blocked-by-wave,"locale-aware review dates"
FORMAT-003,Low,P3,task,T3-03,codex,claude,blocked-by-wave,"ReviewSection i18n + formatting"
FORMAT-004,Low,P3,task,T3-03,codex,claude,blocked-by-wave,"dashboard/bookings locale-aware"
TERM-001,Low,P3,task,T3-04,paired,claude,blocked-by-wave,"one canonical session term applied"
TERM-002,Low,P2,task,T3-04,paired,claude,blocked-by-wave,"one canonical Center Admin translation"
LINK-001,Medium,P2,task,T2-06,codex,claude,ready,"Export CSV functional or removed"
LINK-002,Medium,P2,task,T2-06,codex,claude,ready,"Broadcast functional or removed"
LINK-003,Medium,P2,task,T2-06,codex,claude,ready,"Edit user functional or removed"
LINK-004,Medium,P2,task,T2-06,codex,claude,ready,"Delete user functional or removed"
LINK-005,Medium,P2,task,T2-06,codex,claude,ready,"Delete class functional or removed"
LINK-006,High,P1,task,T1-02,paired,claude,ready,"see T1-02 acceptance criteria"
LINK-007,Low,P3,folded_into_task,T2-06,codex,claude,ready,"malformed href fixed while admin buttons are touched"
LINK-008,Medium,P2,task,T5-04,codex,claude,blocked-by-wave,"no duplicated title suffix"
LINK-009,Medium,P2,task,T5-03,codex,claude,blocked-by-wave,"OG image renders on preview"
