package,current_version,target_version,reason,risk,required_migration,priority
next-auth,5.0.0-beta.30,5.0.0-beta.32 (stay on v5 beta track until GA),"Shipping a pre-release/beta major version (v5) of the primary authentication library in production. v5 has been in beta for 2+ years; breaking changes still land between beta releases.",HIGH,"Track Auth.js v5 release notes on every bump; pin exact version (currently uses ^ which allows automatic beta-to-beta drift); add auth smoke tests before upgrading.",P1
prisma,6.19.2,6.19.3 (defer v7),"Patch available now. Major v7 exists but is a significant jump (breaking changes to client generation, driver adapters) — do not adopt opportunistically.",MEDIUM,"For the v6.19.3 patch: none. For eventual v7: read Prisma 7 upgrade guide, re-generate client, verify app/generated/prisma output path still supported.",P2
@prisma/client,6.19.2,6.19.3 (defer v7),"Must stay version-locked to the `prisma` CLI package. Same v7 caution as above.",MEDIUM,"Bump in lockstep with `prisma` package.",P2
next,16.1.6,16.3.0,"Two minor versions behind on a framework that ships frequent fixes for App Router/edge runtime behavior (directly relevant to the zero-static-generation finding in ARCH-001).",MEDIUM,"Review Next.js 16.x changelog for rendering/caching behavior changes; re-run `next build` output table to confirm no regressions.",P2
react / react-dom,19.2.3,19.2.8,"Behind on patch releases within React 19; low risk but should not lag indefinitely given Next 16's tight coupling to specific React versions.",LOW,"Bump together with any Next.js upgrade to keep the peer-dependency matrix aligned.",P3
@upstash/redis,1.36.3,1.38.2,"Used for all rate limiting (auth, booking, review, message, signup, password reset, promo). Behind by several minor versions.",LOW,"Check changelog for REST client behavior changes before bumping.",P3
@upstash/ratelimit,2.0.8,2.0.8 (current is latest tracked),"No action needed at time of audit; verify alongside @upstash/redis bump.",LOW,none,P4
resend,6.9.3,6.18.1,"Email delivery (verification, login alerts, welcome, receipts). Nine minor versions behind.",LOW,"Check for breaking changes to the send() API surface used in lib/email.ts.",P3
recharts,3.7.0,3.10.1,"Used for dashboard analytics charts. Several versions behind.",LOW,"Spot-check chart components after bump for prop/type changes.",P3
lucide-react,1.16.0,1.28.0,"Icon library, 12 versions behind. Low functional risk but icon name deprecations are possible.",LOW,"Grep for any icon names flagged as removed/renamed in changelog.",P4
framer-motion,12.34.3,12.43.0,"Animation library, several patch/minor versions behind.",LOW,none significant,P4
@auth/prisma-adapter,2.11.1,2.11.3,"Must track next-auth v5 beta compatibility matrix closely — do not bump independently without checking Auth.js compatibility notes.",MEDIUM,"Bump together with next-auth; verify adapter still supports the schema's Account/Session/VerificationToken models.",P2
zod,4.3.6,4.3.6 (current),"On Zod 4 (major rewrite from v3). No action needed now; note that error-formatting APIs changed from v3 — confirm any legacy v3-style error handling isn't lingering in validation code.",LOW,none at present,P4
eslint,9.39.3,9.39.5 (defer v10),"Patch behind on ESLint 9 flat-config; v10 is a new major and should be evaluated separately alongside eslint-config-next compatibility.",LOW,"Defer major bump until eslint-config-next officially supports ESLint 10.",P4
eslint-config-next,16.1.6,16.3.0,"Should track the installed `next` version exactly; currently matches next@16.1.6 but next itself is behind (see above).",LOW,"Bump in lockstep with `next`.",P3
@types/node,20.19.35,20.19.43 (do not jump to 26.x blindly),"Types package pinned to Node 20 typings while `latest` on npm is a Node 26 typings major — only bump the major if the actual Node runtime target changes.",LOW,"Confirm deployment Node runtime version before ever moving to @types/node 26.",P4
@next/bundle-analyzer,16.2.6,16.3.0,"Dev-only tooling, track alongside `next` version.",LOW,none,P4
bcryptjs,3.0.3,(not flagged by npm outdated — verify manually),"Pure-JS bcrypt implementation used for password hashing (12 rounds) and the mobile-token login path. No known critical CVEs at audit time, but pure-JS bcrypt is slower than native bindings — a scaling/perf consideration, not a security one.",LOW,none,P4
tailwindcss / @tailwindcss/postcss,^4 / 4.2.1,4.3.3,"Tailwind 4 is current-gen; only patch-behind.",LOW,none,P4
typescript,^5,(current major fine),"No major version pressure; project builds clean with zero tsc errors.",LOW,none,P4
