source_page,link_label,destination,status,severity,recommendation
"app/components/FooterContent.tsx:149 (sitewide footer)","Privacy","/privacy","404 - no app/privacy/page.tsx exists","CRITICAL","Create app/privacy/page.tsx with real content, or remove the link until ready"
"app/components/FooterContent.tsx:154 (sitewide footer)","Terms","/terms","404 - no app/terms/page.tsx exists","CRITICAL","Create app/terms/page.tsx with real content, or remove the link until ready"
"components/NavbarClient.tsx:378 (sitewide nav, shown to all signed-in users) + FooterContent.tsx platformLinks","Centers","/centers","Blocked for STUDENT/TUTOR roles - proxy.ts ROLE_GATES restricts to CENTER_ADMIN|ADMIN but page.tsx ALLOWED_ROLES permits STUDENT/TUTOR too; proxy runs first so those users hit /unauthorized","HIGH","Align proxy.ts ROLE_GATES['/centers'] with page.tsx's own ALLOWED_ROLES (add STUDENT/TUTOR), or narrow the page-level check and hide the nav link from disallowed roles"
"Any Link to a center profile (e.g. CentersClient.tsx cards)","(dynamic center name)","/centers/[id]","Same role-gate bug as /centers - page.tsx has NO auth redirect at all (intentionally public) but proxy.ts blocks non CENTER_ADMIN/ADMIN users before the page ever renders","HIGH","Remove /centers/[id] from proxy.ts's /centers/:path* gate, or add an explicit allow-list carve-out for the public profile sub-route"
"app/admin/AdminClient.tsx:365","Export CSV","(none - button has no onClick)","Dead UI - no handler wired","MEDIUM","Implement CSV export handler or remove the button"
"app/admin/AdminClient.tsx:368","Broadcast","(none - button has no onClick)","Dead UI - no handler wired","MEDIUM","Implement broadcast feature or remove the button"
"app/admin/AdminClient.tsx:613","Edit user (icon button)","(none - button has no onClick)","Dead UI - no handler wired","MEDIUM","Implement edit-user flow or remove the button"
"app/admin/AdminClient.tsx:614","Delete user (icon button)","(none - button has no onClick)","Dead UI - no handler wired","MEDIUM","Implement delete-user flow or remove the button"
"app/admin/AdminClient.tsx:663","Delete class (icon button)","(none - button has no onClick)","Dead UI - no handler wired","MEDIUM","Implement delete-class flow or remove the button"
"app/admin/AdminClient.tsx:370","<- Exit Admin","href=\"\dashboard\" (backslash, not /dashboard)","Non-standard href - works only because browsers normalize backslash to forward slash in URL paths","LOW","Fix to href=\"/dashboard\""
"app/classes/[id]/book/BookingCheckout.tsx (~line 196)","Month navigation arrow","(none - button has no onClick)","Dead control on calendar UI; selectedDay/selectedTime state is also never sent to POST /api/bookings (body is {classId, paymentType, note} only) - contradicts REMAINING_LIMITATIONS.md item 2 claim that no fake calendar remains","HIGH","Either wire month navigation + send selectedDay/selectedTime to the API and persist server-side (Option A per REMAINING_LIMITATIONS.md), or remove the interactive calendar entirely and keep the honest 'tutor will confirm exact time' copy (Option B, already partially implemented)"
"(no source - unreachable)","Messages / New thread","/messages/new","Orphaned stub - zero Link/router.push references found anywhere in app/; real flows call POST /api/messages/new directly and redirect to the created thread","LOW","Delete the page, or wire it into an actual entry point if it is meant to stay"
"(no source - unreachable)","Your Profile","/profile","Orphaned - fully functional, auth-gated page added in commit 51b48a1 but no nav/dashboard/footer Link points to it","HIGH","Add an entry point (e.g. avatar/account menu -> Edit profile) in NavbarClient.tsx or DashboardClient.tsx"
"(no source - unreachable)","Role onboarding","/onboarding/role","Orphaned - nothing redirects here; auth.ts always assigns role STUDENT by default so the intended trigger never fires; also 100% hardcoded English despite bilingual app; not in proxy.ts PROTECTED list","MEDIUM","Wire into signup flow if still needed, add i18n, add to proxy.ts PROTECTED, or delete"
"TutorProfileClient.tsx (owner viewing own profile)","Edit profile (missing)","/tutors/[id]/edit","Route exists and works (in-page session.user.email === tutor.email check) but has no discoverable Link from the tutor's own profile view; also not covered by proxy.ts PROTECTED/ROLE_GATES","MEDIUM","Add an 'Edit profile' button/link on TutorProfileClient.tsx when the viewer owns the profile, and add the route to proxy.ts PROTECTED for defense-in-depth"
"components/NavbarClient.tsx:387 / components/ui/MobileBottomNav.tsx:25 (hides chrome for this path)","(no link - reachable only by direct URL)","/global-states","Publicly reachable internal QA/design-reference tool (HTTP 200), no robots noindex, no auth gate","LOW","Add export const metadata = { robots: { index: false, follow: false } }, or move out of the app/ router entirely"
"app/layout.tsx openGraph/twitter metadata","(no image configured)","(missing og:image / twitter:image)","twitter card type is summary_large_image but no images array is set anywhere in metadata, so social previews render with no image","MEDIUM","Add app/opengraph-image.png (or equivalent per-route files) and reference in metadata.openGraph.images / metadata.twitter.images"
"app/layout.tsx (favicon convention only)","(no apple-touch-icon)","(missing app/icon.png / app/apple-icon.png)","iOS Add to Home Screen falls back to a screenshot instead of a branded icon","LOW","Add app/icon.png and app/apple-icon.png using Next.js file-convention metadata icons"
"app/profile/page.tsx:8 and 8 other page-level metadata exports (classes, tutors, centers, centers/[id]/admin, search, referral, settings, classes/[id]/book)","(title suffix duplication)","N/A - metadata bug, not a link","Root layout.tsx:49-52 defines template: '%s | Coursaty'; these pages already append ' | Coursaty' themselves, producing 'X | Coursaty | Coursaty' in browser tabs/search snippets. Live-confirmed via curl on /profile.","MEDIUM","Strip the trailing ' | Coursaty' from each page-level title string and let the root template apply it once"
