id,source_doc,area,severity,priority,title,complexity
ARCH-001,01-current-architecture.md,Performance/Architecture,High,P1,"Zero static generation sitewide - Navbar's auth() call in root layout forces full dynamic rendering",M
ARCH-002,01-current-architecture.md,Architecture/Security,High,P1,"Production auth stack (NextAuth v5) is a long-running beta release",M
ARCH-003,01-current-architecture.md,Security,Medium,P2,"Mobile login bypasses account-lockout brute-force protection enforced on web",S
ARCH-004,01-current-architecture.md,Architecture,Low,P3,"Duplicate/divergent CORS configuration between next.config.ts and proxy.ts",S
DB-001,01-current-architecture.md,Database,High,P1,"No committed migration history; schema managed via db push/Supabase MCP ad hoc",M
DB-002,01-current-architecture.md,Database,Low,P3,"User.trustScore field is dead - never read or written by app code",S
DB-003,01-current-architecture.md,Database,Low,P4,"Payout.recipientType / Class.recurrence are unenforced free-text enums",S
DB-004,01-current-architecture.md,Infrastructure,Medium,P2,"Linked Supabase project is currently paused (INACTIVE)",S
ROUTE-001,02-route-and-feature-inventory.md,Routes,Medium,P2,"/tutors/[id]/edit not covered by proxy.ts gating; unreachable via any UI link",S
ROUTE-002,02-route-and-feature-inventory.md,Booking,High,P1,"Booking flow partially implemented - contradicts REMAINING_LIMITATIONS.md claim it was fixed",M
ROUTE-003,02-route-and-feature-inventory.md,Messaging,Low,P3,"/messages/new is orphaned dead code, superseded by direct POST /api/messages/new",S
ROUTE-004,02-route-and-feature-inventory.md,Onboarding,Medium,P3,"/onboarding/role is orphaned - no link found leading to it",S
ROUTE-005,02-route-and-feature-inventory.md,Links,Medium,P2,"Footer Privacy link points to nonexistent /privacy (404 on every page)",S
ROUTE-006,02-route-and-feature-inventory.md,Links,Medium,P2,"Footer Terms link points to nonexistent /terms (404 on every page)",S
ROUTE-007,02-route-and-feature-inventory.md,Routes,High,P2,"/profile fully built and correct but has zero discoverable entry point",S
ROUTE-008,02-route-and-feature-inventory.md,Waitlist,Medium,P3,"Waitlist API has no discoverable UI trigger found",M
ROUTE-009,02-route-and-feature-inventory.md,SEO,Low,P4,"/global-states internal QA tool has no noindex, publicly indexable",S
ROUTE-010,02-route-and-feature-inventory.md,Assets,Info,P4,"Root book-landing.html confirmed unshipped design prototype, no action needed",XS
UX-JOURNEY-001,03-user-journey-audit.md,Landing,Medium,P3,"Silent fallback to empty landing page on DB error",S
UX-JOURNEY-002,03-user-journey-audit.md,Centers,High,P1,"/centers nav link leads to /unauthorized for most users (role-gate bug)",S
UX-JOURNEY-003,03-user-journey-audit.md,Auth,High,P1,"Email verification UI implies a gate the backend doesn't enforce",S
UX-JOURNEY-004,03-user-journey-audit.md,i18n,Medium,P2,"Onboarding role-selection page has zero i18n",S
UX-JOURNEY-005,03-user-journey-audit.md,Booking,High,P1,"Booking checkout pre-fills identity fields with fake placeholder data",M
UX-JOURNEY-006,03-user-journey-audit.md,Dashboard,High,P1,"DashboardStats revenue tile bypasses the access-level gate (CONN-003 root cause)",S
UX-JOURNEY-007,03-user-journey-audit.md,Product,Medium,P3,"No parent/guardian role or child-management flow exists",L
UX-JOURNEY-008,03-user-journey-audit.md,Centers,Critical,P0,"No code path exists to create a LearningCenter - center admin signup is a dead end",M
UX-JOURNEY-009,03-user-journey-audit.md,Admin,Medium,P2,"Dead admin buttons are visually indistinguishable from working ones",S
UX-001,04-ux-ui-audit.md,Landing,High,P1,"Landing hero forces ~600svh of scroll-gated animation before real content",M
UX-002,04-ux-ui-audit.md,Landing/A11y,Medium,P2,"prefers-reduced-motion only partially honored; scroll-hijack has no CSS fallback",M
UX-003,04-ux-ui-audit.md,Landing/RTL,Medium,P2,"Book page-flip animation direction is not RTL-aware",S
UX-004,04-ux-ui-audit.md,Landing,Low,P3,"Landing hero styling fragmented across four concatenated files, no clear ownership",M
UX-005,04-ux-ui-audit.md,Landing,Medium,P3,"Landing has 9 sections, likely redundant with the book-chapter content",M
UX-006,04-ux-ui-audit.md,Tutors,Low,P3,"Duplicated filter UI logic inside 783-line TutorsClient",M
UX-007,04-ux-ui-audit.md,Reviews,High,P1,"Write review button has no onClick handler (re-confirms CONN-007)",S
UX-008,04-ux-ui-audit.md,Booking,Medium,P2,"BookingCheckout StepIndicator hardcoded to always show step 1 active",S
UX-009,04-ux-ui-audit.md,Booking,Medium,P2,"BookingCheckout shows fabricated rating/seats-left/duration values",S
UX-010,04-ux-ui-audit.md,Design system,Low,P3,"Landing hero defines a second, separate design-token set instead of reusing global tokens",S
MOBILE-001,05-mobile-responsive-audit.md,Navigation,Medium,P2,"Two independent, mismatched mobile-nav breakpoints (768px CSS vs 640px JS)",S
MOBILE-002,05-mobile-responsive-audit.md,Navigation,Low,P3,"Bottom nav pops in after hydration, no SSR/CSS fallback",S
MOBILE-003,05-mobile-responsive-audit.md,Touch targets,Low,P3,"Hamburger/close icon buttons under 44px touch-target guideline",S
MOBILE-004,05-mobile-responsive-audit.md,Cards/grids,Medium,P2,"Forced 2-column card grid below 640px may crush content at 320-375px",S
MOBILE-005,05-mobile-responsive-audit.md,Cards/grids,Low,P3,"Favorite-heart icon button under touch-target size",S
MOBILE-006,05-mobile-responsive-audit.md,Dashboards,Low,P3,"Two tables in CenterAdminRevenue.tsx lack overflow-x wrapper",S
MOBILE-007,05-mobile-responsive-audit.md,Modals,Medium,P2,"No shared Modal component; 3 duplicated implementations, none cap height/scroll",M
MOBILE-008,05-mobile-responsive-audit.md,RTL,Low,P4,"Hardcoded borderLeft divider in DashboardRevenue.tsx",S
MOBILE-009,05-mobile-responsive-audit.md,Touch targets,Medium,P2,"Sub-44px touch targets are a systemic pattern across nav/filters/messages/dashboard",M
I18N-001,06-content-localization-rtl-audit.md,Booking/i18n,Critical,P0,"Booking checkout regressed to fake hardcoded May-2025 calendar + hardcoded English",M
I18N-002,06-content-localization-rtl-audit.md,i18n,High,P1,"Class detail page has zero i18n",M
I18N-003,06-content-localization-rtl-audit.md,i18n,High,P1,"ClassCard (reused on ~10 pages) has zero i18n",S
I18N-004,06-content-localization-rtl-audit.md,i18n,High,P1,"Center public profile page has zero i18n",M
I18N-005,06-content-localization-rtl-audit.md,i18n,Medium,P2,"DashboardMaterials.tsx mixed i18n usage",S
I18N-006,06-content-localization-rtl-audit.md,i18n,Medium,P2,"DashboardPrimitives.tsx StudentBookingRow mixed i18n usage",S
I18N-007,06-content-localization-rtl-audit.md,i18n,Low,P3,"ClassFilters.tsx example chips hardcoded",S
RTL-001,06-content-localization-rtl-audit.md,RTL,Medium,P2,"BookingCheckout calendar CSS uses physical left/right",S
RTL-002,06-content-localization-rtl-audit.md,RTL,Low,P3,"ClassSearch.tsx physical left/right (admin-only)",S
RTL-003,06-content-localization-rtl-audit.md,RTL,Low,P4,"Decorative blob positioning uses physical left/right",S
RTL-004,06-content-localization-rtl-audit.md,RTL,Low,P4,"Admin chart margins use physical left/right",S
FORMAT-001,06-content-localization-rtl-audit.md,i18n,Medium,P2,"ClassCard/ClassClient/ClassSearch prices use locale-blind toLocaleString()",S
FORMAT-002,06-content-localization-rtl-audit.md,i18n,Medium,P2,"TutorProfileClient hardcodes en-US for review dates",S
FORMAT-003,06-content-localization-rtl-audit.md,i18n,Low,P3,"ReviewSection hardcodes en-US, no i18n at all",S
FORMAT-004,06-content-localization-rtl-audit.md,i18n,Low,P3,"dashboard/bookings and DashboardPrimitives hardcode en-EG unconditionally",S
TERM-001,06-content-localization-rtl-audit.md,Content,Low,P3,"Session terminology (حصة vs جلسة) used inconsistently",S
TERM-002,06-content-localization-rtl-audit.md,Content,Low,P2,"Center Admin translated two different ways",S
LINK-001,07-links-assets-media-audit.md,Admin,Medium,P2,"Export CSV button has no click handler",S
LINK-002,07-links-assets-media-audit.md,Admin,Medium,P2,"Broadcast button has no click handler",S
LINK-003,07-links-assets-media-audit.md,Admin,Medium,P2,"Edit user icon button has no click handler",S
