feature,ui_component,api_route,db_models,auth_enforced,validation,error_handling,status,notes
Signup,app/signup/page.tsx,POST /api/signup,User,public (rate-limited),Zod UserRegisterSchema,inline error shown via FormAlert,fully wired,No auto-login after signup; sends verification email best-effort
Login,app/login/page.tsx + NextAuth Credentials provider,app/api/auth/[...nextauth]/route.ts (lib/auth.ts),User LoginAuditLog,public (rate-limited + lockout),inline (email/password presence),LoginError code surfaced to UI,fully wired,"5 failed attempts locks account 15min; timing-safe anti-enumeration"
Logout,components/SignOutButton.tsx,NextAuth signOut(),Session (cookie),n/a,n/a,n/a,fully wired,"Sign-out-everywhere variant bumps User.sessionVersion first"
Password reset request,app/forgot-password/page.tsx,POST /api/auth/forgot-password,PasswordResetToken,public (rate-limited),Zod ForgotPasswordSchema,generic response (anti-enumeration),fully wired,Skips OAuth-only accounts correctly
Password reset submit,app/reset-password/page.tsx,GET+POST /api/auth/reset-password,PasswordResetToken User,public token-gated (rate-limited),Zod PasswordResetSchema,inline error display,fully wired,Bumps sessionVersion (kills all sessions) on success
Email verification,app/verify-email/page.tsx,GET /api/auth/verify-email; POST send-verification/resend-verification,EmailVerificationToken User,session (send) / public (resend),token validated server-side,inline UI states,"partially wired (cosmetic only)","CRITICAL: enforcement block commented out in lib/auth.ts:119-126 — unverified users can fully log in and use the app; verification pipeline works but gates nothing"
Password change,app/settings/SecuritySettings.tsx,POST /api/me/password,User,session,Zod PasswordChangeSchema,inline error/success,fully wired,"Gap: does not bump sessionVersion, unlike reset-password, so other sessions stay logged in"
Sessions / login history,app/settings/SecuritySettings.tsx,POST /api/me/sessions (revoke-all only),User LoginAuditLog,session,n/a,inline,partially wired,No GET/list endpoint; LoginAuditLog is write-only and never displayed anywhere
Avatar upload,app/profile/ProfileClient.tsx,POST /api/upload/avatar then PATCH /api/users/me,User (photoUrl) Supabase Storage,session,client+server MIME/size checks,try/catch with inline error,fully wired,Two-step upload+PATCH is not atomic; failed PATCH orphans the uploaded file
Profile editing,app/profile/ProfileClient.tsx,GET/PATCH /api/users/me,User,session,inline ProfileSchema (duplicate of unused schemas/user.ts UserUpdateSchema),try/catch inline error,fully wired,No router.refresh() after save; other server-rendered views of the same user data can go stale
