file,referenced_by,status,issue
"public/file.svg","(none found)","unused","Default Next.js create-next-app scaffold SVG; never imported anywhere in app/, components/, or lib/. Report only, not deleted."
"public/globe.svg","(none found)","unused","Default Next.js create-next-app scaffold SVG; never imported anywhere. Report only, not deleted."
"public/next.svg","(none found)","unused","Default Next.js create-next-app scaffold SVG; never imported anywhere. Report only, not deleted."
"public/vercel.svg","(none found)","unused","Default Next.js create-next-app scaffold SVG; never imported anywhere. Report only, not deleted."
"public/window.svg","(none found)","unused","Default Next.js create-next-app scaffold SVG; never imported anywhere. Report only, not deleted."
"public/landing/student-portrait.webp","(none found)","unused","Part of the same brand-photo shoot as the other public/landing/*.webp files (all of which ARE referenced), but this specific file has no src= reference anywhere in the codebase. Likely leftover from an earlier hero layout. Report only, not deleted."
"public/higgsfield/auth-nook.webp","components/ui/AuthShell.tsx:52 (background-image url())","used","none"
"public/higgsfield/booking-confirmed.webp","app/booking-confirmed/BookingConfirmedClient.tsx:107","used","none"
"public/higgsfield/centers-hero.webp","app/centers/CentersClient.tsx:362","used","none"
"public/higgsfield/group-study.webp","app/tutors/TutorsClient.tsx:482","used","none"
"public/landing/desk-flatlay.webp","app/components/landing/HeroSection.tsx:97","used","none"
"public/landing/hero-student.webp","app/components/landing/LandingCards.tsx:107","used","none"
"public/landing/learning-center.webp","app/components/landing/HeroSection.tsx:241","used","none"
"public/landing/parent-tablet.webp","app/components/landing/HeroSection.tsx:131","used","none"
"public/landing/tutor-portrait.webp","app/components/landing/HeroSection.tsx:149","used","none"
"public/landing/tutor-session.webp","app/components/landing/HeroSection.tsx:208 and app/components/landing/LandingCards.tsx:117","used","none"
"app/favicon.ico","Next.js implicit file-convention (no explicit <link> needed)","used","Only the favicon.ico convention is present; no app/icon.png, apple-icon.png, or opengraph-image file exists (see broken-links.csv for the OG-image and apple-touch-icon findings)"
"book-landing.html (repo root, NOT under public/)","Not served by Next.js - lives outside public/, so it has zero production URL","dev-artifact, not shipped","Single-commit static HTML prototype (git log shows one commit: 'high-end UI redesign'). Confirmed as the design source that was manually ported into app/book/BookClient.tsx (shares CSS custom-property names --book-w/--spine/--flip-dur and the .book-landing class name used live in HeroSection.tsx:266). Not broken, not dead code in the runtime sense since it never shipped; recommend relocating to a /design or /docs folder for repo hygiene, no functional action required."
"public/landing/cairo-skyline-golden-hour.jpg (queued, does not exist yet)","REMAINING_LIMITATIONS.md item 1 (planned, blocked on Higgsfield credits)","planned - not a broken reference","Correctly not referenced anywhere in current code; this is a future asset on the AI-image-gen backlog, not a bug. Listed here only for cross-reference completeness."
"public/assets/empty-state-book.webp, 404-books.webp, error-book-warning.webp, subjects/*.webp (queued, do not exist yet)","REMAINING_LIMITATIONS.md item 1 (planned, blocked on Higgsfield credits)","planned - not a broken reference","Same as above - not referenced in current code, correctly deferred, not a broken-asset finding."
